90	8.1	2.1	3.0	3.0	8.4
95	8.0	2.1	3.2	3.6	8.4
100	7.9	2.2	3.4	3.4	8.4
105	7.9	2.2	3.5	3.7	8.4
110	7.9	2.3	3.8	4.1	8.5
115	7.9	2.3	3.9	4.2	8.4
120	7.8	2.4	3.4	3.5	8.4
125	7.8	2.5	3.5	3.5	8.5
130	7.8	2.5	3.5	3.7	8.4
135	7.8	2.6	3.4	3.6	8.4
140	7.8	2.6	3.5	3.7	8.4
145	7.8	2.7	3.8	4.0	8.5
150	7.8	2.7	3.3	3.6	8.4
155	7.7	2.8	3.5	3.6	8.6
160	7.7	2.8	3.8	4.0	8.6
165	7.7	2.9	3.6	4.1	8.6
170	7.7	3.0	3.8	4.2	8.6
175	7.7	3.0	3.8	4.1	8.6
180	7.7	3.1	3.5	3.8	8.6
185	7.7	3.1	3.5	3.8	8.7
190	7.7	3.2	3.7	3.9	8.7
195	7.7	3.2	3.7	4.0	8.7
200	7.8	3.3	3.8	4.1	8.7
210	7.7	3.4	3.7	4.2	8.9
220	7.8	3.5	3.7	4.2	8.9
230	7.8	3.6	4.5	4.8	9.0
240	7.9	3.7	4.0	4.4	9.1
250	7.9	3.8	4.0	4.2	9.1
260	8.0	3.9	4.0	4.5	9.0
270	8.0	4.0	3.8	4.3	9.3
280	8.1	4.2	4.4	4.9	9.5
290	8.1	4.3	4.2	4.5	9.7
300	8.2	4.4	4.5	5.0	10.0
320	8.3	4.6	0.0	0.0	0.0
340	8.4	4.8	0.0	0.0	0.0
360	8.6	5.0	0.0	0.0	0.0
380	8.6	5.2	0.0	0.0	0.0
400	8.9	5.5	0.0	0.0	0.0
450	9.4	6.0	0.0	0.0	0.0
500	9.7	6.6	0.0	0.0	0.0
550	9.9	7.1	0.0	0.0	0.0
600	10.4	7.6	0.0	0.0	0.0
650	10.7	8.2	0.0	0.0	0.0
700	11.0	8.7	0.0	0.0	0.0
750	11.2	9.3	0.0	0.0	0.0
800	11.5	9.8	0.0	0.0	0.0
850	12.2	10.4	0.0	0.0	0.0
900	13.0	10.9	0.0	0.0	0.0
950	14.0	11.5	0.0	0.0	0.0
1000	14.8	12.0	0.0	0.0	0.0
